system,section_heading,item_label,hex,css_var,token_ref,description_first_keywords,description
airbnb,Brand & Accent,Rausch,#ff385c,,{colors.primary},single brand color,"The single brand color. Used for primary CTA backgrounds (Reserve, Continue), the search orb, the heart save state on property cards, and inline brand links. The most recognizable color in consumer travel."
airbnb,Brand & Accent,Rausch Active,#e00b41,,{colors.primary-active},press pointer-down variant,The press / pointer-down variant — slightly more saturated. Used on `{component.button-primary-active}`.
airbnb,Brand & Accent,Rausch Disabled,#ffd1da,,{colors.primary-disabled},pale tint used,A pale tint used on disabled CTAs.
airbnb,Brand & Accent,Luxe Purple,#460479,,{colors.luxe},sub-brand accent airbnb,Sub-brand accent for Airbnb Luxe. Only appears inside Luxe-branded surfaces — never in mainline marketing.
airbnb,Brand & Accent,Plus Magenta,#92174d,,{colors.plus},sub-brand accent airbnb,Sub-brand accent for Airbnb Plus. Same scoping as Luxe — sub-product only.
airbnb,Surface,Canvas,#ffffff,,{colors.canvas},default page floor,The default page floor for every public page. Airbnb does not have a dark mode on the public web.
airbnb,Surface,Surface Soft,#f7f7f7,,{colors.surface-soft},lightest fill used,"The lightest fill — used on disabled fields, sub-nav hover backgrounds, and the inline search filter band."
airbnb,Surface,Surface Strong,#f2f2f2,,{colors.surface-strong},slightly heavier fill,"Slightly heavier fill — circular icon-button surface (e.g., the breadcrumb back-arrow and listing toolbar buttons)."
airbnb,Hairlines & Borders,Hairline,#dddddd,,{colors.hairline},default 1px border,"The default 1px border tone — search bar dividers, table separators, footer column splitters, card 1px borders."
airbnb,Hairlines & Borders,Hairline Soft,#ebebeb,,{colors.hairline-soft},lighter divider used,A lighter divider used on long-scrolling editorial body separators.
airbnb,Hairlines & Borders,Border Strong,#c1c1c1,,{colors.border-strong},heavier stroke used,A heavier stroke used on disabled outline buttons and form input outlines after focus.
airbnb,Text,Ink,#222222,,{colors.ink},dominant text color,"The dominant text color on light surfaces. Display headlines, body paragraphs, primary nav links, and most inline link text. Never pure black."
airbnb,Text,Body,#3f3f3f,,{colors.body},secondary running-text color,A secondary running-text color used inside long-form review and amenity copy where ink would feel too heavy.
airbnb,Text,Muted,#6a6a6a,,{colors.muted},sub-titles inside city,"Sub-titles inside city link blocks (""Cottage rentals"", ""Villa rentals""), inactive product-tab labels, footer category sub-labels, ""View all"" links."
airbnb,Text,Muted Soft,#929292,,{colors.muted-soft},disabled link text,Disabled link text. Used very sparingly.
airbnb,Text,Star Rating,#222222,,{colors.star-rating},same ink token,"The same ink token — Airbnb's star icon and ""4.81"" rating numbers all render in ink rather than a yellow/gold color, which is a deliberate brand choice (yellow stars feel cheap in travel context)."
airbnb,Text,On Primary,#ffffff,,{colors.on-primary},white text rausch,White text on Rausch CTAs.
airbnb,Semantic,Error,#c13515,,{colors.primary-error-text},inline error text,"Inline error text for form validation. Distinct from Rausch — slightly darker, more saturated red."
airbnb,Semantic,Error Hover,#b32505,,{colors.primary-error-text-hover},darkens link hover,Darkens on link hover.
airbnb,Semantic,Legal Link Blue,#428bff,,{colors.legal-link},inline links inside,"Inline links inside legal copy (Privacy, Terms). Only used inside the legal sub-band."
airbnb,Scrim,Scrim,#000000,,{colors.scrim},global modal backdrop,"The global modal backdrop tone — date picker, login dialog, language picker. Stored as the base hex; opacity is applied at render time."
airtable,Brand & Accent,Primary,#181d26,,{colors.primary},dominant brand color,"The dominant brand color. Used for the primary CTA background, h1/h2 display type, and the `{component.surface-dark}` band. Not ""blue, then black"" — black IS the primary throughout the marketing system."
airtable,Brand & Accent,Primary Active,#0d1218,,{colors.primary-active},press state primary,The press state on primary buttons.
airtable,Surface,Canvas,#ffffff,,{colors.canvas},default page surface,The default page surface; the floor of every editorial body.
airtable,Surface,Surface Soft,#f8fafc,,{colors.surface-soft},tabbed feature cards,Tabbed feature cards and the featured pricing tier.
airtable,Surface,Surface Strong,#e0e2e6,,{colors.surface-strong},light gray start,"The light gray ""Start building with Airtable"" CTA banner near the footer."
airtable,Surface,Surface Dark,#181d26,,{colors.surface-dark},dark navy cta,"The dark navy CTA cards used mid-page (for example ""The path to 10× every person in your organization"")."
