system,rawRole,font,sizePx,weight,weightRange,lineHeight,lineHeightRange,letterSpacingPx,letterSpacingRange,uppercase,features,notes,rowIndex
airbnb,rating-display,,64,700,,1.1,,-1,,,,"Listing detail rating display (""4.81"")",0
airbnb,display-xl,,28,700,,1.43,,0,,,,"Homepage h1 (""Inspiration for future getaways"")",1
airbnb,display-lg,,22,500,,1.18,,-0.44,,,,"Listing detail h1 (""Close to Fethiye Aliyah Bali Beach…"")",2
airbnb,display-md,,21,700,,1.43,,0,,,,"Section heads inside listing detail (""What this place offers"")",3
airbnb,display-sm,,20,600,,1.2,,-0.18,,,,"Sub-section titles (""Things to know"")",4
airbnb,title-md,,16,600,,1.25,,0,,,,"City link block titles (""Wilmington"", ""Athens"")",5
airbnb,title-sm,,16,500,,1.25,,0,,,,"Footer column heads (""Support"", ""Hosting"", ""Airbnb"")",6
airbnb,body-md,,16,400,,1.5,,0,,,,Default running-text inside listing copy,7
airbnb,body-sm,,14,400,,1.43,,0,,,,"Card meta lines, dates, prices, distance text",8
airbnb,caption,,14,500,,1.29,,0,,,,"Search field segment labels (""Where"", ""When"", ""Who"")",9
airbnb,caption-sm,,13,400,,1.23,,0,,,,"Footer legal line (""© 2026 Airbnb, Inc."")",10
airbnb,badge,,11,600,,1.18,,0,,,,"""Guest favorite"" floating badge text",11
airbnb,micro-label,,12,700,,1.33,,0,,,,"Card amenity micro-labels (""Inline 6"")",12
airbnb,uppercase-tag,,8,700,,1.25,,0.32,,true,,"""NEW"" badge on product nav tabs",13
airbnb,button-md,,16,500,,1.25,,0,,,,Primary CTA button labels,14
airbnb,button-sm,,14,500,,1.29,,0,,,,Pill button labels (category strip),15
airbnb,link,,14,400,,1.43,,0,,,,Inline body links,16
airbnb,nav-link,,16,600,,1.25,,0,,,,"Top product-nav labels (Homes, Experiences, Services)",17
airtable,display-xl,,48,500,,1.1,,0,,,,Articles page h2 — second-tier editorial headline,0
airtable,display-lg,,40,400,,1.2,,0,,,,Homepage h1 hero,1
airtable,display-md,,32,400,,1.2,,0,,,,Platform-page h2 — feature-section headlines,2
airtable,title-lg,,24,400,,1.35,,0.12,,,,Section titles,3
airtable,title-md,,20,400,,1.5,,0,,,,Sub-section titles in tabbed feature cards,4
airtable,title-sm,,18,500,,1.4,,0,,,,Article-card titles,5
